차바, 84, 155
다가, 95, 198
바아, 49, 141
라카, 73, 183
타아, 94, 191
자카, 55, 160
마차, 85, 184
다나, 92, 171
라라, 48, 151
바파, 71, 167
차하, 59, 165
나카, 56, 157
파자, 83, 146
아차, 69, 150
라가, 72, 183
다카, 45, 154
아가, 46, 171
파하, 75, 176
아사, 58, 182
사아, 74, 148
마라, 61, 154
자하, 98, 199
하차, 91, 173
마다, 81, 180
하사, 49, 178
라카, 61, 191
자다, 87, 148
라타, 54, 199
타다, 54, 168
타자, 66, 159
타나, 46, 144
마차, 74, 171
사나, 73, 162
라나, 71, 175
타카, 76, 181
바타, 47, 161
카타, 87, 168
차자, 55, 197
라사, 83, 149
마아, 88, 193
아차, 43, 196
라아, 43, 157
마사, 48, 180
하하, 49, 178
라차, 62, 148
타바, 57, 164
타아, 44, 179
가나, 97, 145
하아, 60, 150
바카, 45, 173
나타, 70, 150
바다, 93, 172
차마, 69, 152
마카, 68, 148
나차, 50, 163
아타, 66, 187
카다, 43, 168
마사, 42, 173
아타, 60, 156
타하, 50, 178
하아, 81, 196
카라, 85, 154
가나, 83, 141
차타, 63, 168
라나, 74, 199
카마, 81, 156
차나, 72, 185
아나, 57, 195
타하, 59, 142
자마, 46, 147
카카, 96, 179
나다, 73, 188
카나, 80, 188
아바, 79, 168
바파, 51, 166
카마, 48, 187
자마, 46, 185
타자, 67, 187
바카, 52, 146
사마, 97, 151
자하, 55, 182
타바, 43, 182
하차, 92, 153
하하, 44, 198
카차, 67, 143
사차, 96, 191
카가, 81, 143
하바, 59, 189
아차, 63, 180
차타, 48, 156
파타, 84, 173
자사, 51, 142
타타, 42, 177
파하, 49, 153
나다, 95, 156
카차, 42, 148
마타, 64, 180
마차, 80, 192
다마, 79, 192
아마, 73, 180
바바, 92, 188
파나, 53, 154
나사, 81, 178
자자, 65, 152
하바, 87, 193
카자, 92, 173
나차, 89, 147
나바, 87, 181
아파, 58, 148
다사, 84, 157
아타, 57, 162
가타, 91, 152
자나, 80, 156
카라, 47, 186
아타, 97, 167
마타, 87, 170
마파, 64, 143
바타, 45, 180
아나, 87, 170
파파, 96, 159
마바, 71, 180
마자, 78, 180
마카, 79, 162
라나, 62, 163
가아, 82, 156
자사, 59, 147
다나, 83, 176
다하, 71, 190
파마, 75, 153
바카, 76, 195
바바, 98, 148
타하, 82, 198
나카, 78, 163
나나, 92, 190
하자, 90, 179
차자, 70, 154
마마, 56, 198
사가, 88, 161
다아, 60, 181
바카, 67, 178
아바, 56, 167
카하, 43, 183
라차, 68, 189
다카, 92, 172
사차, 75, 147
나하, 72, 182
카아, 75, 140
사다, 68, 161
자하, 92, 178
다마, 92, 164
다마, 55, 161
타파, 71, 176
마마, 57, 163
자나, 80, 170
바사, 64, 143
라아, 78, 181
나자, 50, 157
아아, 73, 189
마가, 63, 158
다바, 83, 180
라라, 80, 152
파하, 59, 195
카다, 51, 155
카나, 72, 187
하라, 69, 145
마다, 70, 157
다카, 60, 177
마다, 87, 160
라가, 43, 148
하파, 71, 144
파타, 81, 160
자마, 83, 178
바자, 78, 142
하나, 67, 166
하카, 56, 185
아가, 51, 167
파차, 97, 188
다사, 89, 169
사마, 75, 153
바가, 56, 153
자사, 70, 176
바마, 99, 150
라카, 72, 188
하바, 70, 160
라바, 67, 191
라바, 54, 151
마타, 84, 144
차차, 87, 149
아가, 66, 140
카다, 49, 158
사라, 51, 178
아자, 55, 172
다사, 44, 175
하다, 67, 161
바마, 87, 178
나자, 48, 171
아자, 40, 161
가바, 99, 146
나자, 81, 166
사차, 84, 148
라하, 96, 149
하차, 47, 146
카마, 74, 177
아마, 61, 196
카자, 69, 175
파마, 71, 150
다바, 79, 158
다파, 89, 179
타다, 82, 156
차사, 92, 171
라바, 75, 184
가자, 91, 160
가자, 52, 140
가자, 64, 186
카사, 68, 155
마하, 42, 187
하카, 99, 154
타나, 51, 183
타사, 46, 158
파자, 86, 183
마가, 57, 198
다자, 60, 167
나라, 91, 184
하다, 66, 193
나차, 60, 183
나라, 46, 146
나차, 53, 157
나가, 93, 161
하타, 66, 165
라라, 50, 188
다파, 95, 174
차아, 79, 143
아마, 93, 181
하마, 63, 173
파아, 57, 165
바다, 76, 157
차다, 84, 194
바아, 80, 197
다아, 79, 173
카카, 49, 147
타카, 64, 194
차하, 86, 186
라사, 44, 186
마타, 56, 176
라가, 67, 147
카라, 83, 148
다타, 74, 184
사카, 77, 194
바나, 85, 196
가차, 57, 162
다차, 80, 156
라파, 87, 187
마바, 98, 169
가자, 87, 144
차아, 88, 185
라마, 57, 169
가하, 75, 151
라나, 65, 193
차차, 66, 144
타사, 44, 170
차다, 90, 170
다라, 71, 165
나파, 41, 191
사사, 84, 169
바타, 45, 188
사아, 93, 184
하다, 60, 159
하라, 72, 166
파다, 87, 171
라가, 89, 177
라아, 40, 193
하카, 67, 184
타카, 76, 158
하하, 44, 157
나라, 41, 175
바라, 75, 162
마하, 88, 198
다파, 75, 191
나파, 59, 187
다사, 60, 183
라나, 66, 172
사사, 72, 169
파자, 52, 196
가자, 61, 177
라바, 62, 178
바차, 88, 163
다사, 58, 198
타카, 57, 179
라바, 57, 165
가가, 71, 177
마파, 65, 179
아차, 58, 193
다사, 90, 155
마가, 62, 194
파타, 96, 194
나아, 43, 168
가차, 71, 152
타하, 40, 187
차파, 70, 151
차카, 44, 184
자라, 82, 157
마마, 62, 146
마아, 93, 176
나나, 75, 161
다가, 49, 173
나사, 91, 145
자다, 65, 148
나바, 85, 189
라바, 82, 198
나나, 45, 181
파자, 71, 183
마사, 62, 161
타마, 70, 144
가마, 76, 151
마타, 84, 169
나나, 88, 162
라자, 40, 160
가카, 49, 193
카사, 98, 141
다카, 85, 187
타다, 91, 167
카바, 42, 181
타카, 70, 184
타타, 94, 189
다파, 66, 145
파자, 96, 195
나나, 70, 148
가차, 79, 173
카타, 67, 163
차사, 95, 144
사다, 72, 149
사사, 77, 169
라가, 86, 197
나카, 57, 163
자바, 70, 143
차차, 74, 157
자파, 53, 182
마타, 43, 161
자사, 97, 161
하파, 83, 191
타바, 61, 146
나차, 56, 145
사하, 84, 168
아차, 52, 160
라마, 97, 150
파카, 64, 146
마타, 80, 140
사차, 59, 170
바라, 73, 152
바나, 75, 167
바자, 97, 194
라다, 81, 194
바아, 89, 190
하가, 68, 165
타아, 56, 181
자파, 80, 198
하라, 77, 147
라차, 62, 180
나가, 67, 175
사차, 94, 157
가파, 72, 157
차카, 51, 196
가자, 78, 189
마카, 40, 158
차사, 85, 142
차아, 62, 144
다파, 72, 190
타사, 74, 148
라라, 49, 144
아하, 54, 166
하하, 57, 151
타다, 90, 161
파카, 62, 144
다아, 71, 162
자다, 77, 153
파나, 44, 143
하하, 98, 181
사라, 90, 156
자가, 97, 158
아자, 45, 166
다타, 91, 164
파마, 51, 156
카라, 76, 160
파타, 99, 149
하카, 94, 191
가카, 48, 193
다타, 40, 198
바라, 47, 147
라마, 81, 174
사나, 94, 157
다타, 61, 162
바타, 77, 144
카라, 74, 152
바다, 90, 161
사사, 53, 195
다카, 95, 155
다사, 91, 182
하마, 96, 168
타사, 53, 141
사라, 47, 158
나자, 88, 172
타아, 43, 144
카파, 95, 178
타아, 40, 145
다파, 54, 140
타가, 72, 149
하하, 97, 159
가아, 73, 153
자아, 74, 166
바타, 68, 149
사카, 77, 149
바파, 75, 159
가나, 66, 197
나하, 90, 193
사차, 79, 175
자자, 82, 167
타나, 46, 147
사사, 41, 145
자다, 80, 182
하마, 74, 191
하자, 63, 171
나하, 81, 177
바바, 97, 172
다카, 79, 172
사하, 49, 176
마파, 46, 163
가파, 85, 169
카다, 88, 149
바사, 47, 187
나다, 84, 194
하자, 51, 182
마하, 60, 198
자가, 72, 169
가자, 49, 177
사다, 65, 153
자타, 63, 176
아아, 93, 172
가카, 81, 180
타사, 51, 154
사파, 69, 149
카차, 59, 171
사차, 82, 143
차자, 74, 164
차나, 96, 189
파자, 58, 176
나가, 87, 191
바라, 69, 157
마카, 90, 166
나라, 58, 160
타마, 85, 148
파아, 47, 177
차하, 92, 178
타마, 98, 145
다나, 58, 141
바라, 76, 191
파하, 48, 152
차다, 95, 157
파타, 47, 146
